epoch,lr,time,loss
0,0.001,07:48:12,3.0082075350424824
1,8.5e-06,07:48:21,2.2204217551385654
2,1.7e-05,07:48:25,1.5684189432684112
3,2.55e-05,07:48:29,1.1252015342607218
4,3.4e-05,07:48:33,0.9988419711589813
5,4.2499999999999996e-05,07:48:37,0.9388373191742336
6,5.1e-05,07:48:41,0.8757273120915189
7,5.9499999999999996e-05,07:48:45,0.8184312840594965
8,6.8e-05,07:48:49,0.7642311041845995
9,7.65e-05,07:48:53,0.6955782107132322
10,8.499999999999999e-05,07:48:58,0.6395163433078457
11,9.35e-05,07:49:02,0.5983258518664276
12,0.000102,07:49:07,0.5538663647192366
13,0.00011049999999999999,07:49:12,0.5354765677715049
14,0.00011899999999999999,07:49:16,0.49722041868988204
15,0.00012749999999999998,07:49:20,0.46989267505705357
16,0.000136,07:49:24,0.4515882189221242
17,0.0001445,07:49:28,0.43865136944634076
18,0.000153,07:49:32,0.4186367143822067
19,0.0001615,07:49:36,0.403798496350646
20,0.00016999999999999999,07:49:40,0.39943940696470875
21,0.0001785,07:49:45,0.3951881078674513
22,0.000187,07:49:49,0.3739031771307482
23,0.00019549999999999998,07:49:53,0.3755567429915947
24,0.000204,07:49:57,0.3570462359005914
25,0.0002125,07:50:01,0.35404078037861514
26,0.00022099999999999998,07:50:05,0.3499692280722015
27,0.0002295,07:50:10,0.3426684442469302
28,0.00023799999999999998,07:50:14,0.3347779071396765
29,0.0002465,07:50:18,0.32364993871134873
30,0.00025499999999999996,07:50:22,0.3165259969365947
31,0.0002635,07:50:26,0.3127923682332039
32,0.000272,07:50:30,0.31860261196818424
33,0.0002805,07:50:34,0.30611682831145387
34,0.000289,07:50:38,0.3143971992437454
35,0.00029749999999999997,07:50:42,0.2977771233657704
36,0.000306,07:50:46,0.2979068624074845
37,0.0003145,07:50:50,0.2914614604019067
38,0.000323,07:50:54,0.2802262218011653
39,0.0003315,07:50:59,0.29158681609174786
40,0.00033999999999999997,07:51:03,0.2881451972815044
41,0.00034849999999999996,07:51:07,0.2882741518209086
42,0.000357,07:51:11,0.289977031376432
43,0.0003655,07:51:15,0.28141581157551093
44,0.000374,07:51:19,0.287840459988836
45,0.0003825,07:51:23,0.288014337858733
46,0.00039099999999999996,07:51:27,0.2892709244042635
